Date,Location,Latitude,Longitude,Season,RainTomorrow,RainMm,WindGustSpeed,WindGustSpeedGroup,WindGustDir,WindGustDirDegrees,WindSpeed9am,WindDir9amDegrees,WindSpeed3pm,WindDir3pmDegrees,WindSpeedChange
2016-5-5,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,23.8,Q1,N,351,4.3,275,7.0,35,2.7
2016-5-6,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,18.4,Q1,NNW,333,4.7,274,6.8,72,2.0999999999999996
2016-5-7,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,0.0,24.8,Q1,NE,36,3.3,276,10.8,69,7.500000000000001
2016-5-8,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,1.2,18.0,Q1,N,4,4.3,355,1.5,14,-2.8
2016-5-9,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,5.4,52.9,Q4,N,0,11.0,19,19.5,358,8.5
2016-5-10,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,60.8,Q4,NW,307,19.4,317,27.4,298,8.0
2016-5-11,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,33.5,Q1,WNW,293,8.7,336,16.6,275,7.900000000000002
2016-5-12,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,43.6,Q3,NW,312,11.9,346,19.1,273,7.200000000000001
2016-5-13,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,19.1,Q1,NW,309,5.2,335,4.4,235,-0.7999999999999998
2016-5-14,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,19.4,Q1,NW,322,5.5,293,4.0,10,-1.5
2016-5-15,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,29.2,Q1,NW,315,7.5,305,12.8,302,5.300000000000001
2016-5-16,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,25.2,Q1,N,354,3.1,291,13.2,29,10.1
2016-5-17,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,30.2,Q1,WNW,302,9.2,329,12.8,281,3.6000000000000014
2016-5-18,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,25.9,Q1,W,277,6.5,273,7.2,3,0.7000000000000002
2016-5-19,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,32.8,Q1,WNW,296,9.8,343,16.3,275,6.5
2016-5-20,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,25.2,Q1,SSW,209,5.8,274,7.3,169,1.5
2016-5-21,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,18.0,Q1,NE,41,4.7,247,8.5,62,3.8
2016-5-22,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,21.2,Q1,N,357,2.9,300,6.9,43,4.0
2016-5-23,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,47.2,Q3,WNW,285,12.0,339,19.1,250,7.100000000000001
2016-5-24,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,35.6,Q2,W,265,8.7,275,14.5,243,5.800000000000001
2016-5-25,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,0.0,28.1,Q1,WNW,290,5.8,277,6.0,25,0.20000000000000018
2016-5-26,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,3.9,45.4,Q3,NNW,327,14.0,360,19.8,299,5.800000000000001
2016-5-27,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,0.0,51.8,Q4,W,268,14.8,269,26.1,263,11.3
2016-5-28,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.2,46.8,Q3,W,279,9.7,318,14.7,253,5.0
2016-5-29,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,30.2,Q1,WSW,255,10.5,266,7.1,240,-3.4000000000000004
2016-5-30,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,0.0,22.7,Q1,WSW,239,6.9,276,5.9,169,-1.0
2016-5-31,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,5.3,24.1,Q1,SSW,205,9.8,242,8.2,119,-1.6000000000000014
2016-6-1,Sydney (ERA5 grid point),-33.848858,151.19551,winter,1,3.9,23.4,Q1,SSW,210,6.4,243,4.7,148,-1.7000000000000002
2016-6-2,Sydney (ERA5 grid point),-33.848858,151.19551,winter,1,2.0,23.8,Q1,S,191,6.1,220,9.8,152,3.700000000000001
2016-6-3,Sydney (ERA5 grid point),-33.848858,151.19551,winter,1,0.5,19.1,Q1,S,180,7.4,227,8.8,125,1.4000000000000004
2016-6-4,Sydney (ERA5 grid point),-33.848858,151.19551,winter,1,38.8,70.6,Q4,NE,52,12.9,60,30.5,52,17.6
2016-6-5,Sydney (ERA5 grid point),-33.848858,151.19551,winter,1,85.6,92.5,Q4,E,87,25.2,68,20.4,76,-4.800000000000001
2016-6-6,Sydney (ERA5 grid point),-33.848858,151.19551,winter,1,6.9,46.8,Q3,W,278,17.3,275,19.2,264,1.8999999999999986
2016-6-7,Sydney (ERA5 grid point),-33.848858,151.19551,winter,0,0.1,38.2,Q2,WNW,301,11.1,331,15.5,283,4.4
2016-6-8,Sydney (ERA5 grid point),-33.848858,151.19551,winter,1,0.0,31.3,Q1,NW,309,10.1,305,11.3,297,1.200000000000001
2016-6-9,Sydney (ERA5 grid point),-33.848858,151.19551,winter,0,4.3,46.8,Q3,NW,325,20.1,317,18.8,315,-1.3000000000000007
2016-6-10,Sydney (ERA5 grid point),-33.848858,151.19551,winter,0,0.0,34.6,Q2,WNW,295,7.7,298,10.3,282,2.6000000000000005
2016-6-11,Sydney (ERA5 grid point),-33.848858,151.19551,winter,0,0.0,37.1,Q2,W,274,12.1,300,14.5,263,2.4000000000000004
2016-6-12,Sydney (ERA5 grid point),-33.848858,151.19551,winter,0,0.0,27.0,Q1,SW,234,11.8,243,5.4,217,-6.4
2016-6-13,Sydney (ERA5 grid point),-33.848858,151.19551,winter,0,0.0,16.2,Q1,NW,310,7.6,267,5.9,47,-1.6999999999999993
2016-6-14,Sydney (ERA5 grid point),-33.848858,151.19551,winter,0,0.0,17.6,Q1,W,277,5.4,312,3.7,281,-1.7000000000000002
